Дата начисления,Тип начисления,Номер отправления или идентификатор услуги,Дата принятия заказа в обработку или оказания услуги,Склад отгрузки,Список SKU,Список артикулов,Список товаров или название услуги,За продажу или возврат до вычета комиссий и услуг,Комиссия за продажу,Сборка заказа,Обработка отправления (Drop-off/Pick-up),Магистраль,Последняя миля,Обратная магистраль,Обработка возврата,Обработка отмененного или невостребованного товара,Обработка невыкупленного товара,Логистика (до 15.04 – плата за доставку КГТ),Обратная логистика (до 15.04 – плата за возврат КГТ),Итого
01.04.2023,Доставка покупателю,0126264671-0004-1,26.03.2023,FBO,803944569,НП26112022,"Набор женских сережек ,крестики, лезвия, скелеты, молнии, скрепки, бижутерия из титановой стали",890.00,-106.80,0.00,0.00,0.00,-48.95,0.00,0.00,0.00,0.00,-44.50,0.00,689.75
01.04.2023,Доставка покупателю,67961079-0067-3,20.03.2023,FBO,803944569,НП26112022,"Набор женских сережек ,крестики, лезвия, скелеты, молнии, скрепки, бижутерия из титановой стали",649.00,-77.88,0.00,0.00,0.00,-35.70,0.00,0.00,0.00,0.00,-40.00,0.00,495.42
01.04.2023,Доставка покупателю,68496451-0073-3,07.03.2023,FBO,803944569,НП26112022,"Набор женских сережек ,крестики, лезвия, скелеты, молнии, скрепки, бижутерия из титановой стали",578.00,-69.36,0.00,0.00,0.00,-31.79,0.00,0.00,0.00,0.00,-40.00,0.00,436.85
01.04.2023,Услуга размещения товаров на складе,,01.04.2023,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04
02.04.2023,Доставка покупателю,0114851703-0007-5,19.03.2023,FBO,803944569,НП26112022,"Набор женских сережек ,крестики, лезвия, скелеты, молнии, скрепки, бижутерия из титановой стали",611.00,-73.32,0.00,0.00,0.00,-33.61,0.00,0.00,0.00,0.00,-40.00,0.00,464.07
02.04.2023,Услуга размещения товаров на складе,,02.04.2023,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04
03.04.2023,Услуга размещения товаров на складе,,03.04.2023,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04
04.04.2023,Услуга размещения товаров на складе,,04.04.2023,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04
05.04.2023,Доставка покупателю,0105110419-0002-1,20.03.2023,FBO,803944569,НП26112022,"Набор женских сережек ,крестики, лезвия, скелеты, молнии, скрепки, бижутерия из титановой стали",649.00,-77.88,0.00,0.00,0.00,-35.70,0.00,0.00,0.00,0.00,-40.00,0.00,495.42
05.04.2023,Услуга размещения товаров на складе,,05.04.2023,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04
06.04.2023,Услуга размещения товаров на складе,,06.04.2023,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02
08.04.2023,Услуга размещения товаров на складе,,08.04.2023,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02
09.04.2023,Услуга размещения товаров на складе,,09.04.2023,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04
