Дата начисления,Тип начисления,Номер отправления или идентификатор услуги,Дата принятия заказа в обработку или оказания услуги,Склад отгрузки,Список SKU,Список артикулов,Список товаров или название услуги,За продажу или возврат до вычета комиссий и услуг,Комиссия за продажу,Сборка заказа,Обработка отправления (Drop-off/Pick-up),Магистраль,Последняя миля,Обратная магистраль,Обработка возврата,Обработка отмененного или невостребованного товара,Обработка невыкупленного товара,Логистика (до 15.04 – плата за доставку КГТ),Обратная логистика (до 15.04 – плата за возврат КГТ),Итого
16.05.2023,Доставка товаров на склад Ozon (кросс-докинг),,16.05.2023,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-500.00
16.05.2023,Доставка товаров на склад Ozon (кросс-докинг),,16.05.2023,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-400.00
16.05.2023,Доставка товаров на склад Ozon (кросс-докинг),,16.05.2023,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-300.00
16.05.2023,Доставка товаров на склад Ozon (кросс-докинг),,16.05.2023,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-500.00
16.05.2023,Доставка товаров на склад Ozon (кросс-докинг),,16.05.2023,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-400.00
16.05.2023,Оплата эквайринга,0115830295-0028,16.05.2023,,803944569,НП26112022,"Набор женских сережек ,крестики, лезвия, скелеты, молнии, скрепки, бижутерия из титановой стали",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.65
16.05.2023,Оплата эквайринга,0131554097-0006,16.05.2023,,924089702,СЖС05042023,Серьги с натуральным жемчугом бижутерия серебро женские парные сережки пусеты гвоздики,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.21
16.05.2023,Оплата эквайринга,36230726-0016,16.05.2023,,803944569,НП26112022,"Набор женских сережек ,крестики, лезвия, скелеты, молнии, скрепки, бижутерия из титановой стали",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.66
16.05.2023,Оплата эквайринга,0117135383-0038,16.05.2023,,803944569,НП26112022,"Набор женских сережек ,крестики, лезвия, скелеты, молнии, скрепки, бижутерия из титановой стали",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-6.51
16.05.2023,Доставка покупателю,0128090896-0194-1,14.05.2023,FBO,803944569,НП26112022,"Набор женских сережек ,крестики, лезвия, скелеты, молнии, скрепки, бижутерия из титановой стали",690.00,-103.50,0.00,0.00,0.00,-37.95,0.00,0.00,0.00,0.00,-40.00,0.00,508.55
16.05.2023,Доставка покупателю,0120269773-0045-1,14.05.2023,FBO,803944569,НП26112022,"Набор женских сережек ,крестики, лезвия, скелеты, молнии, скрепки, бижутерия из титановой стали",690.00,-103.50,0.00,0.00,0.00,-37.95,0.00,0.00,0.00,0.00,-40.00,0.00,508.55
16.05.2023,Доставка покупателю,0107140732-0033-2,14.05.2023,FBO,803944569,НП26112022,"Набор женских сережек ,крестики, лезвия, скелеты, молнии, скрепки, бижутерия из титановой стали",690.00,-103.50,0.00,0.00,0.00,-37.95,0.00,0.00,0.00,0.00,-40.00,0.00,508.55
16.05.2023,Услуга размещения товаров на складе,,16.05.2023,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16.05.2023,Услуги продвижения товаров,,16.05.2023,,,,"Заказ №3175878. Техническая услуга в Интернете на сайте и/или в приложении www.ozon.ru для кампании в формате ""Трафареты"" в период 16.05.2023 - 16.05.2023",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-155.77
